17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
18490,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18491,,хорошо,ХОРОШО,ADV -,,,"я популярен , _хорошо_ , » -",о,ш,о,р,о,х,ADV,ХОРОШО,ADV -,О
18492,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18493,,»,»,PUNCT,,,,,,,,,,PUNCT,,,
18494,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18495,,говорит,ГОВОРИТЬ,V ipf praes sg indic - 3p,,,", » - _говорит_ , - «",т,и,р,о,в,о,V,ГОВОРИТЬ,V ipf praes sg indic - 3p,Ь
18496,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18497,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18498,,«,«,PUNCT,,,,,,,,,,PUNCT,,,
18499,,но,НО,CONJ,,,", - « _но_ , вам нужно",о,н,,,,,CONJ,НО,CONJ,О
18500,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18501,,вам,ВЫ,SPRO pl 2p - dat,,,"« но , _вам_ нужно задуматься .",м,а,в,,,,SPRO,ВЫ,SPRO pl 2p - dat,Ы
18502,,нужно,НУЖНО,PRAEDIC,,,"но , вам _нужно_ задуматься . »",о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18503,,задуматься,ЗАДУМАТЬСЯ,V intr pf inf act,,,", вам нужно _задуматься_ . » ",я,с,ь,т,а,м,V,ЗАДУМАТЬСЯ,V pf - - inf - -,Я
18504,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18505,,»,»,PUNCT,,,,,,,,,,PUNCT,,,
18506,,,,,,,,,,,,,,,,,
18507,# sent = 1372,,,,,,,,,,,,,,,,
18508,"<span class=""note"">",,,,,,,,,,,,,,,,
18509,<note>,смеется,,,,,,,,,,,,,,,
18510,</span>,,,,,,,,,,,,,,,,
18511,,,,,,,,,,,,,,,,,
18512,# sent = 1373,,,,,,,,,,,,,,,,
18513,,Это,ЭТО,SPRO n - nom sg,,,   _Это_ очень смешно .,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18514,,очень,ОЧЕНЬ,ADV -,,,  Это _очень_ смешно . ,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18515,,смешно,СМЕШНОЙ,A - - sg brev n -,,, Это очень _смешно_ .  ,о,н,ш,е,м,с,A,СМЕШНОЙ,A - - sg brev n -,Й
18516,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18517,,,,,,,,,,,,,,,,,
18518,# sent = 1374,,,,,,,,,,,,,,,,
18519,,У,У,PR,,,.   _У_ него интересный юмор,у,,,,,,PR,У,PR,У
18520,,него,ОН,SPRO sg 3p m acc,,,  У _него_ интересный юмор .,о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
18521,,интересный,ИНТЕРЕСНЫЙ,A - nom sg plen m -,,, У него _интересный_ юмор . ,й,ы,н,с,е,р,A,ИНТЕРЕСНЫЙ,A - nom sg plen m -,Й
18522,,юмор,ЮМОР,S m inan nom sg,,,У него интересный _юмор_ .  ,р,о,м,ю,,,S,ЮМОР,S m inan nom sg,Р
18523,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18524,,,,,,,,,,,,,,,,,
18525,# sent = 1375,,,,,,,,,,,,,,,,
18526,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18527,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18528,,,,,,,,,,,,,,,,,
18529,# sent = 1376,,,,,,,,,,,,,,,,
18530,,Вот,ВОТ,PART,,,.   _Вот_ такая … в,т,о,в,,,,PART,ВОТ,PART,Т
18531,,такая,ТАКОЙ,APRO - nom sg plen f -,,,  Вот _такая_ … в такой,я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
18532,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18533,,в,В,PR,,,Вот такая … _в_ такой ситуации сейчас,в,,,,,,PR,В,PR,В
18534,,такой,ТАКОЙ,APRO - loc sg plen f -,,,такая … в _такой_ ситуации сейчас музыка,й,о,к,а,т,,APRO,ТАКОЙ,A - loc sg plen f -,Й
18535,,ситуации,СИТУАЦИЯ,S f inan loc sg,,,… в такой _ситуации_ сейчас музыка находится,и,и,ц,а,у,т,S,СИТУАЦИЯ,S f inan loc sg,Я
18536,,сейчас,СЕЙЧАС,ADV -,,,в такой ситуации _сейчас_ музыка находится .,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18537,,музыка,МУЗЫКА,S f inan nom sg,,,такой ситуации сейчас _музыка_ находится . ,а,к,ы,з,у,м,S,МУЗЫКА,S f inan nom sg,А
18538,,находится,НАХОДИТЬСЯ,V ipf praes sg indic - 3p,,,ситуации сейчас музыка _находится_ .  ,я,с,т,и,д,о,V,НАХОДИТЬСЯ,V ipf praes sg indic - 3p,Я
18539,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18540,,,,,,,,,,,,,,,,,
18541,# sent = 1377,,,,,,,,,,,,,,,,
18542,,Очень,ОЧЕНЬ,ADV -,,,".   _Очень_ много всего ,",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18543,,много,МНОГО,ADV -,,,"  Очень _много_ всего , много",о,г,о,н,м,,ADV,МНОГО,ADV -,О
18544,,всего,ВСЕГО,SPRO - - nom pl,,," Очень много _всего_ , много возможностей",о,г,е,с,в,,APRO,ВЕСЬ,A - acc sg plen m anim,О
18545,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18546,,много,МНОГО,ADV -,,,"много всего , _много_ возможностей , ааа",о,г,о,н,м,,ADV,МНОГО,ADV -,О
18547,,возможностей,ВОЗМОЖНОСТЬ,S f inan gen pl,,,"всего , много _возможностей_ , ааа ..",й,е,т,с,о,н,S,ВОЗМОЖНОСТЬ,S f inan gen pl,Ь
18548,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18549,,ааа,ААА,INTJ,distort,,"много возможностей , _ааа_ .. а они",а,а,а,,,,INTJ,ААА.,INTJ,А
18550,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
18551,,а,А,INTJ,,,", ааа .. _а_ они как будто бы",а,,,,,,CONJ,А,CONJ,А
18552,,они,ОНИ,SPRO pl - - nom,,,ааа .. а _они_ как будто бы не,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
18553,,как будто,как будто,CONJ,,,.. а они _как будто_ бы не используются,о,т,д,у,б, ,CONJ,как будто,CONJ,о
18554,,бы,БЫ,PART,,,а они как будто _бы_ не используются .,ы,б,,,,,PART,БЫ,PART,Ы
18555,,не,НЕ,PART,,,они как будто бы _не_ используются . ,е,н,,,,,PART,НЕ,PART,Е
18556,,используются,ИСПОЛЬЗОВАТЬСЯ,V ipf praes pl indic - 3p,,,как будто бы не _используются_ .  ,я,с,т,ю,у,з,V,ИСПОЛЬЗОВАТЬСЯ,V ipf praes pl indic - 3p,Я
18557,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18558,,,,,,,,,,,,,,,,,
18559,# sent = 1378,,,,,,,,,,,,,,,,
18560,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18561,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18562,,,,,,,,,,,,,,,,,
18563,# sent = 1379,,,,,,,,,,,,,,,,
18564,,Очень,ОЧЕНЬ,ADV -,,,".   _Очень_ интересно , что",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18565,,интересно,ИНТЕРЕСНО,ADV -,,,"  Очень _интересно_ , что потом",о,н,с,е,р,е,ADV,ИНТЕРЕСНО,ADV -,О
18566,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18567,,что,ЧТО,CONJ,,,"Очень интересно , _что_ потом будет и",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18568,,потом,ПОТОМ,ADV -,,,"интересно , что _потом_ будет и куда",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
18569,,будет,БЫТЬ,V ipf  fut sg indic - 3p,,,", что потом _будет_ и куда это",т,е,д,у,б,,V,БЫТЬ,V ipf praes sg indic - 3p,Ь
18570,,и,И,CONJ,,,что потом будет _и_ куда это все,и,,,,,,CONJ,И,CONJ,И
18571,,куда,КУДА,ADVPRO,,,потом будет и _куда_ это все потом,а,д,у,к,,,ADV,КУДА,ADV -,А
18572,,это,ЭТО,SPRO n - nom sg,,,будет и куда _это_ все потом пойдет,о,т,э,,,,SPRO,ЭТО,S n inan acc sg,О
18573,,все,ВСЕ,SPRO - - nom pl,,,и куда это _все_ потом пойдет .,е,с,в,,,,S,ВСЕ,S - - nom pl,Е
18574,,потом,ПОТОМ,ADV -,,,куда это все _потом_ пойдет . ,м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
18575,,пойдет,ПОЙТИ,V pf fut sg indic - 3p,,,это все потом _пойдет_ .  ,т,е,д,й,о,п,V,ПОЙТИ,V pf fut sg indic - 3p,И
18576,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
